Meas_numb;SHT75_temp;SHT75_hum;SHT75_time;HTU21DF_temp;HTU21DF_hum;HTU21DF_time;SHT31_temp;SHT31_hum;SHT31_time;BME280_temp;BME280_hum;BME280_time;DHT22_temp;DHT22_hum;DHT22_time
0;27.82;49.39;2490.00;28.70;48.75;2608.00;28.50;51.26;2660.00;28.95;47.50;2662.00;27.90;53.00;2668.00
1;27.83;49.36;3577.00;28.69;48.77;3695.00;28.46;51.22;3747.00;28.96;47.46;3749.00;27.90;53.00;3749.00
2;27.84;49.36;4658.00;28.69;48.78;4776.00;28.48;51.23;4828.00;28.96;47.45;4830.00;27.90;54.50;4837.00
3;27.85;49.37;5745.00;28.68;48.79;5863.00;28.50;51.29;5915.00;28.97;47.44;5917.00;27.90;54.50;5917.00
4;27.84;49.36;6826.00;28.65;48.80;6944.00;28.48;51.24;6996.00;28.96;47.44;6998.00;27.90;54.50;7005.00
5;27.85;49.40;7913.00;28.67;48.81;8031.00;28.50;51.26;8083.00;28.97;47.46;8085.00;27.90;54.50;8085.00
6;27.84;49.40;8994.00;28.67;48.81;9112.00;28.50;51.26;9164.00;28.97;47.47;9166.00;27.90;54.50;9173.00
7;27.86;49.40;10081.00;28.67;48.82;10199.00;28.48;51.30;10251.00;28.97;47.49;10253.00;27.90;54.50;10253.00
8;27.86;49.40;11167.00;28.68;48.83;11285.00;28.47;51.31;11337.00;28.97;47.51;11339.00;28.00;54.50;11345.00
9;27.86;49.43;12259.00;28.68;48.84;12377.00;28.48;51.32;12429.00;28.96;47.53;12431.00;28.00;54.50;12431.00
10;27.86;49.46;13479.00;28.67;48.86;13597.00;28.47;51.31;13649.00;28.97;47.54;13651.00;27.90;54.50;13658.00
11;27.86;49.43;14571.00;28.69;48.87;14689.00;28.47;51.33;14741.00;28.98;47.54;14743.00;27.90;54.50;14743.00
12;27.86;49.46;15657.00;28.67;48.88;15775.00;28.47;51.33;15827.00;28.97;47.55;15829.00;27.90;54.50;15836.00
13;27.86;49.46;16749.00;28.68;48.89;16867.00;28.47;51.38;16919.00;28.97;47.55;16921.00;27.90;54.50;16921.00
14;27.87;49.46;17835.00;28.68;48.90;17953.00;28.44;51.37;18005.00;28.97;47.56;18007.00;27.90;54.50;18014.00
