Meas_numb;SHT75_temp;SHT75_hum;SHT75_time;HTU21DF_temp;HTU21DF_hum;HTU21DF_time;SHT31_temp;SHT31_hum;SHT31_time;BME280_temp;BME280_hum;BME280_time;DHT22_temp;DHT22_hum;DHT22_time
0;30.85;54.87;2510.00;31.13;53.86;2628.00;31.05;57.07;2680.00;31.24;52.00;2682.00;30.80;58.50;2688.00
1;30.86;54.17;3597.00;31.11;52.80;3715.00;31.04;56.94;3767.00;31.25;51.60;3769.00;30.80;58.50;3769.00
2;30.84;53.52;4678.00;31.09;52.28;4796.00;31.04;56.81;4848.00;31.25;51.23;4850.00;30.50;58.60;4857.00
3;30.83;53.04;5765.00;31.10;52.06;5883.00;31.05;56.54;5935.00;31.26;50.90;5937.00;30.50;58.60;5937.00
4;30.83;52.69;6846.00;31.11;52.04;6964.00;31.07;56.27;7016.00;31.26;50.62;7018.00;30.50;57.70;7024.00
5;30.83;52.53;7933.00;31.10;52.12;8051.00;31.07;56.02;8103.00;31.26;50.44;8105.00;30.50;57.70;8105.00
6;30.84;52.43;9014.00;31.08;52.19;9132.00;31.05;55.75;9184.00;31.26;50.32;9186.00;30.60;57.30;9193.00
7;30.82;52.40;10101.00;31.09;52.19;10219.00;31.05;55.57;10271.00;31.26;50.29;10273.00;30.60;57.30;10273.00
8;30.82;52.36;11187.00;31.08;52.18;11305.00;31.05;55.38;11357.00;31.26;50.32;11359.00;30.60;56.80;11366.00
9;30.81;52.33;12279.00;31.08;52.15;12397.00;31.04;55.32;12449.00;31.26;50.33;12451.00;30.60;56.80;12451.00
10;30.82;52.30;13499.00;31.08;52.12;13617.00;31.05;55.24;13669.00;31.26;50.26;13671.00;30.60;56.50;13678.00
11;30.80;52.30;14591.00;31.08;52.12;14709.00;31.04;55.19;14761.00;31.26;50.22;14763.00;30.60;56.50;14763.00
12;30.80;52.33;15677.00;31.07;52.14;15795.00;31.07;55.14;15847.00;31.26;50.17;15849.00;30.60;56.20;15856.00
13;30.81;52.36;16769.00;31.08;52.15;16887.00;31.04;55.12;16939.00;31.26;50.13;16941.00;30.60;56.20;16941.00
14;30.81;52.43;17855.00;31.06;52.22;17973.00;31.04;55.10;18025.00;31.26;50.12;18027.00;30.60;56.00;18033.00
15;30.78;52.42;18947.00;31.06;52.31;19065.00;31.04;55.11;19117.00;31.26;50.14;19119.00;30.60;56.00;19119.00
16;30.79;52.46;20033.00;31.06;52.35;20151.00;31.02;55.13;20203.00;31.26;50.17;20205.00;30.50;55.80;20211.00
17;30.78;52.46;21125.00;31.07;52.35;21243.00;31.05;55.11;21295.00;31.26;50.20;21297.00;30.50;55.80;21297.00
18;30.78;52.42;22211.00;31.06;52.30;22329.00;31.04;55.12;22381.00;31.26;50.22;22383.00;30.60;55.70;22389.00
19;30.77;52.36;23303.00;31.05;52.29;23421.00;31.07;55.19;23473.00;31.26;50.20;23475.00;30.60;55.70;23475.00
20;30.76;52.32;24523.00;31.06;52.35;24641.00;31.02;55.15;24693.00;31.25;50.19;24695.00;30.60;55.60;24701.00
21;30.77;52.33;25615.00;31.06;52.34;25733.00;31.02;55.16;25785.00;31.26;50.18;25787.00;30.60;55.60;25787.00
22;30.74;52.32;26701.00;31.05;52.32;26819.00;31.02;55.10;26871.00;31.26;50.18;26873.00;30.50;55.40;26880.00
23;30.75;52.35;27793.00;31.05;52.33;27911.00;31.02;55.10;27963.00;31.25;50.19;27965.00;30.50;55.40;27965.00
24;30.74;52.29;28879.00;31.05;52.28;28997.00;31.02;55.15;29049.00;31.25;50.23;29051.00;30.60;55.30;29058.00
25;30.74;52.16;29971.00;31.04;52.21;30089.00;31.04;55.13;30141.00;31.25;50.24;30143.00;30.60;55.30;30143.00
26;30.72;52.03;31057.00;31.02;52.12;31175.00;31.04;55.12;31227.00;31.26;50.24;31229.00;30.60;55.20;31235.00
27;30.72;51.96;32149.00;31.02;52.05;32267.00;31.01;55.13;32319.00;31.25;50.21;32321.00;30.60;55.20;32321.00
28;30.72;51.90;33235.00;31.02;51.99;33353.00;31.01;55.08;33405.00;31.25;50.17;33407.00;30.50;55.00;33413.00
