Meas_numb;SHT75_temp;SHT75_hum;SHT75_time;HTU21DF_temp;HTU21DF_hum;HTU21DF_time;SHT31_temp;SHT31_hum;SHT31_time;BME280_temp;BME280_hum;BME280_time;DHT22_temp;DHT22_hum;DHT22_time
0;28.48;50.89;2364.00;29.47;47.68;2482.00;29.26;53.14;2534.00;29.37;46.89;2536.00;28.70;52.40;2543.00
1;28.50;50.93;3451.00;29.47;47.76;3569.00;29.24;53.10;3621.00;29.38;46.83;3623.00;28.70;52.40;3623.00
2;28.51;51.35;4532.00;29.46;47.87;4650.00;29.24;53.08;4702.00;29.39;46.80;4704.00;28.70;53.50;4711.00
3;28.53;51.45;5619.00;29.46;48.02;5737.00;29.26;53.11;5789.00;29.40;46.80;5791.00;28.70;53.50;5791.00
4;28.54;51.48;6700.00;29.47;48.12;6818.00;29.26;53.12;6870.00;29.41;46.85;6872.00;28.70;53.60;6879.00
5;28.54;51.51;7787.00;29.47;48.23;7905.00;29.26;53.18;7957.00;29.41;46.93;7959.00;28.70;53.60;7959.00
6;28.56;51.51;8868.00;29.45;48.23;8986.00;29.24;53.21;9038.00;29.41;46.99;9040.00;28.70;53.60;9047.00
7;28.56;51.39;9955.00;29.45;48.21;10073.00;29.24;53.26;10125.00;29.42;46.94;10127.00;28.70;53.60;10127.00
8;28.56;51.23;11040.00;29.44;48.23;11158.00;29.24;53.22;11210.00;29.42;46.91;11212.00;28.70;53.60;11219.00
9;28.55;51.13;12132.00;29.44;48.26;12250.00;29.26;53.22;12302.00;29.42;46.91;12304.00;28.70;53.60;12304.00
10;28.56;51.07;13352.00;29.45;48.29;13470.00;29.23;53.25;13522.00;29.42;46.91;13524.00;28.70;53.50;13531.00
11;28.55;51.06;14444.00;29.45;48.30;14562.00;29.24;53.30;14614.00;29.42;46.93;14616.00;28.70;53.50;14616.00
12;28.55;51.10;15530.00;29.45;48.33;15648.00;29.24;53.33;15700.00;29.42;46.96;15702.00;28.70;53.50;15709.00
13;28.57;51.13;16622.00;29.43;48.31;16740.00;29.22;53.34;16792.00;29.42;46.97;16794.00;28.70;53.50;16794.00
14;28.58;51.10;17708.00;29.44;48.30;17826.00;29.24;53.35;17878.00;29.42;46.98;17880.00;28.70;53.50;17887.00
