Meas_numb;SHT75_temp;SHT75_hum;SHT75_time;HTU21DF_temp;HTU21DF_hum;HTU21DF_time;SHT31_temp;SHT31_hum;SHT31_time;BME280_temp;BME280_hum;BME280_time;DHT22_temp;DHT22_hum;DHT22_time
0;30.16;54.26;2412.00;29.37;55.55;2530.00;30.35;57.42;2582.00;30.82;50.55;2584.00;29.60;60.80;2590.00
1;30.17;54.36;3499.00;29.37;55.56;3617.00;30.34;57.36;3669.00;30.82;50.48;3671.00;29.60;60.80;3671.00
2;30.18;54.39;4580.00;29.38;55.42;4698.00;30.34;57.34;4750.00;30.83;50.44;4752.00;29.20;62.20;4759.00
3;30.20;54.30;5667.00;29.41;55.09;5785.00;30.37;57.35;5837.00;30.84;50.62;5839.00;29.20;62.20;5839.00
4;30.21;53.95;6748.00;29.42;54.64;6866.00;30.35;57.43;6918.00;30.83;50.77;6920.00;29.20;62.20;6927.00
5;30.20;53.72;7835.00;29.42;54.44;7953.00;30.34;57.43;8005.00;30.83;50.73;8007.00;29.20;62.20;8007.00
6;30.22;53.72;8916.00;29.42;54.44;9034.00;30.34;57.41;9086.00;30.84;50.69;9088.00;29.20;62.00;9094.00
7;30.22;53.72;10003.00;29.43;54.48;10121.00;30.35;57.34;10173.00;30.84;50.71;10175.00;29.20;62.00;10175.00
8;30.20;53.59;11089.00;29.43;54.40;11207.00;30.35;57.32;11259.00;30.82;50.61;11261.00;29.20;61.90;11267.00
9;30.19;53.43;12181.00;29.43;54.05;12299.00;30.35;57.25;12351.00;30.82;50.29;12353.00;29.20;61.90;12353.00
10;30.16;53.17;13401.00;29.43;53.72;13519.00;30.35;57.11;13571.00;30.81;49.97;13573.00;29.20;61.70;13579.00
11;30.15;52.95;14493.00;29.44;53.66;14611.00;30.34;56.91;14663.00;30.81;49.78;14665.00;29.20;61.70;14665.00
12;30.14;52.85;15579.00;29.44;53.63;15697.00;30.35;56.69;15749.00;30.80;49.74;15751.00;29.20;61.40;15757.00
13;30.13;52.82;16671.00;29.44;53.57;16789.00;30.34;56.56;16841.00;30.80;49.76;16843.00;29.20;61.40;16843.00
